Alabama,Montgomery,Birmingham,Mobile
Alaska,Juneau,Anchorage,Sitka
Arizona,Phoenix,Tucson,Sedona
Arkansas,Little Rock,Batesville,Fayetteville
California,Sacramento,Los Angeles,San Diego
Colorado,Denver,San Luis,Boulder
Connecticut,Hartford,Bridgeport,Windsor
Delaware,Dover,Wilmington,Lewes
Florida,Tallahassee,Jacksonville,Saint Augustine
Georgia,Atlanta,Savannah,Athens
Hawaii,Honolulu,Hilo,Kailua
Idaho,Boise,Franklin,Twin Falls
Illinois,Springfield,Chicago,Peoria
Indiana,Indianapolis,Vincennes,Fort Wayne
Iowa,Des Moines,Dubuque,Iowa City
Kansas,Topeka,Wichita,Levenworth
Kentucky,Frankfort,Louisville,Harrodsburg
Louisiana,Baton Rouge,New Orleans,Natchitoches
Maine,Augusta,Portland,Kittery
Maryland,Annapolis,Baltimore,St. Marys City
Massachusetts,Boston,Plymouth,Salem
Michigan,Lansing,Detroit,Sault Ste. Marie
Minnesota,Saint Paul,Minneapolis,Wabasha
Mississippi,Jackson,Biloxi,Tupelo
Missouri,Jefferson City,Kansas City,St. Genevieve
Montana,Helena,Billings,Fort Benton
Nebraska,Lincoln,Omaha,Kearney
Nevada,Carson City,Las Vegas,Genoa
New Hampshire,Concord,Manchester,Dover
New Jersey,Trenton,Newark,Jersey City
New Mexico,Santa Fe,Albuquerque,Taos
New York,Albany,New York City,Buffalo
North Carolina,Raleigh,Charlotte,Bath
North Dakota,Bismarck,Fargo,Pembina
Ohio,Columbus,Martins Ferry,Cincinnati
Oklahoma,Oklahoma City,Fort Gibson,Norman
Oregon,Salem,Portland,Astoria
Pennsylvania,Harrisburg,Philadelphia,Chester
Rhode Island,Providence,Newport,Warwick
South Carolina,Columbia,Charleston,Florence
South Dakota,Pierre,Sioux Falls,Rapid City
Tennessee,Nashville,Memphis,Jonesborough
Texas,Austin,Huston,Nacogdoches
Utah,Salt Lake City,Ogden,Orem
Vermont,Montpelier,Burlington,Westminster
Virginia,Richmond,Virginia Beach,Jamestown
Washington,Olympia,Seattle,Steilacoom
West Virginia,Charleston,Shepherdstown,Romney
Wisconsin,Madison,Milwaukee,Green Bay
Wyoming,Cheyenne,Cheyenne,Casper
